"account_status","loan_duration_mths","credit_history","loan_purpose","credit_amount","savings","employment_duration","installment_rate","marital_status","other_debtors","residence_since","property","age_yrs","other_installment_plans","housing","existing_credits","occupation","people_liable","telephone","foreign_worker","target","target_bad"
"0 to < 200 DM",30,"Delay in paying off in the past","Radio / television",1919,"100 to < 500 DM","< 1 year","< 20%","Male single","None","4 to < 7 years","Unknown / no property",30,"Stores","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","None","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",9,"Existing credits paid back duly till now","Radio / television",745,"< 100 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Real estate",28,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",6,"Existing credits paid back duly till now","Radio / television",2063,"< 100 DM","< 1 year","< 20%","Male married/widowed","None","4 to < 7 years","Car or other property",30,"None","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",60,"Existing credits paid back duly till now","Education",6288,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Unknown / no property",42,"None","For free","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",24,"Critical account / other credits existing","Car (used)",6842,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male single","None",">= 7 years","Building society savings / life insurance",46,"None","Own","2 to 3","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Car (new)",3527,"Unknown / no savings account","< 1 year","25% to < 35%","Male single","None","4 to < 7 years","Building society savings / life insurance",45,"None","Own","1","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Good",0
"No checking account",10,"Existing credits paid back duly till now","Car (new)",1546,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Real estate",31,"None","Own","1","Unskilled resident","3 or more","None","No","Good",0
"No checking account",24,"Existing credits paid back duly till now","Furniture / equipment",929,"Unknown / no savings account","4 to < 7 years","< 20%","Male single","None","1 to < 4 years","Car or other property",31,"Stores","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",4,"Critical account / other credits existing","Car (new)",1455,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None","< 1 year","Real estate",42,"None","Own","4 to 5","Unskilled resident","3 or more","None","Yes","Good",0
"< 0 DM",15,"Existing credits paid back duly till now","Furniture / equipment",1845,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","Guarantor","< 1 year","Building society savings / life insurance",46,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",48,"No credits taken / all credits paid back duly","Car (new)",8358,"500 to < 1000 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None","< 1 year","Car or other property",30,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",24,"All credits at this bank paid back duly","Furniture / equipment",3349,"500 to < 1000 DM","< 1 year","< 20%","Male single","None",">= 7 years","Unknown / no property",30,"None","For free","1","Skilled employee / official","3 or more","Yes","Yes","Bad",1
"No checking account",12,"Existing credits paid back duly till now","Car (new)",2859,"Unknown / no savings account","Unemployed","< 20%","Male single","None",">= 7 years","Unknown / no property",38,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",18,"Existing credits paid back duly till now","Furniture / equipment",1533,"< 100 DM","< 1 year","< 20%","Male married/widowed","Co-applicant","< 1 year","Building society savings / life insurance",43,"None","Own","1","Unskilled resident","3 or more","None","Yes","Bad",1
"No checking account",24,"Existing credits paid back duly till now","Radio / television",3621,"100 to < 500 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Car or other property",31,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",18,"Critical account / other credits existing","Business",3590,"< 100 DM","Unemployed","20% to < 25%","Male married/widowed","None","4 to < 7 years","Car or other property",40,"None","Own","4 to 5","Unemployed / unskilled non-resident","3 or more","Yes","Yes","Good",0
"< 0 DM",36,"Delay in paying off in the past","Business",2145,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None","< 1 year","Car or other property",24,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",24,"Existing credits paid back duly till now","Car (used)",4113,"500 to < 1000 DM","< 1 year","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Car or other property",28,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",36,"Existing credits paid back duly till now","Furniture / equipment",10974,"< 100 DM","Unemployed","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",26,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"< 0 DM",12,"Existing credits paid back duly till now","Car (new)",1893,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","Guarantor",">= 7 years","Building society savings / life insurance",29,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",24,"Critical account / other credits existing","Radio / television",1231,">= 1000 DM",">= 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",57,"None","Rent","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",30,"Critical account / other credits existing","Radio / television",3656,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",49,"Stores","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",9,"Critical account / other credits existing","Radio / television",1154,"< 100 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Real estate",37,"None","Own","4 to 5","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",28,"Existing credits paid back duly till now","Car (new)",4006,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Car or other property",45,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",24,"Existing credits paid back duly till now","Furniture / equipment",3069,"100 to < 500 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",30,"None","For free","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",6,"Critical account / other credits existing","Radio / television",1740,"< 100 DM",">= 7 years","25% to < 35%","Male married/widowed","None","1 to < 4 years","Real estate",30,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",21,"Delay in paying off in the past","Car (new)",2353,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male divorced/separated","None",">= 7 years","Building society savings / life insurance",47,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",15,"Existing credits paid back duly till now","Car (new)",3556,"Unknown / no savings account","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Unknown / no property",29,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Radio / television",2397,"500 to < 1000 DM",">= 7 years","20% to < 25%","Male single","None","1 to < 4 years","Car or other property",35,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",6,"Existing credits paid back duly till now","Repairs",454,"< 100 DM","< 1 year","20% to < 25%","Male married/widowed","None","< 1 year","Building society savings / life insurance",22,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",30,"Existing credits paid back duly till now","Radio / television",1715,"Unknown / no savings account","1 to < 4 years","< 20%","Female divorced/separated/married","None","< 1 year","Car or other property",26,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",27,"Critical account / other credits existing","Radio / television",2520,"500 to < 1000 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",23,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",15,"Existing credits paid back duly till now","Radio / television",3568,"< 100 DM",">= 7 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",54,"Bank","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",42,"Existing credits paid back duly till now","Radio / television",7166,"Unknown / no savings account","4 to < 7 years","25% to < 35%","Male married/widowed","None",">= 7 years","Building society savings / life insurance",29,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",11,"Critical account / other credits existing","Car (new)",3939,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None","1 to < 4 years","Real estate",40,"None","Own","2 to 3","Unskilled resident","3 or more","None","Yes","Good",0
"0 to < 200 DM",15,"Existing credits paid back duly till now","Repairs",1514,"100 to < 500 DM","1 to < 4 years","< 20%","Male single","Guarantor","1 to < 4 years","Real estate",22,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Car (new)",7393,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None",">= 7 years","Building society savings / life insurance",43,"None","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"< 0 DM",24,"All credits at this bank paid back duly","Car (new)",1193,"< 100 DM","Unemployed",">= 35% of disposable income","Female divorced/separated/married","Co-applicant",">= 7 years","Unknown / no property",29,"None","Rent","2 to 3","Unemployed / unskilled non-resident","0 to 2","None","Yes","Bad",1
"< 0 DM",60,"Existing credits paid back duly till now","Business",7297,"< 100 DM",">= 7 years","< 20%","Male single","Co-applicant",">= 7 years","Unknown / no property",36,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",30,"Critical account / other credits existing","Radio / television",2831,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",33,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",24,"Existing credits paid back duly till now","Radio / television",1258,"500 to < 1000 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None","4 to < 7 years","Car or other property",57,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",6,"Existing credits paid back duly till now","Radio / television",753,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","Guarantor","4 to < 7 years","Real estate",64,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",18,"Delay in paying off in the past","Business",2427,"Unknown / no savings account",">= 7 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",42,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Delay in paying off in the past","Car (new)",2538,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",47,"None","Own","2 to 3","Unskilled resident","3 or more","None","Yes","Bad",1
